Last Updated,3/23/2026,,,,,,
Start Month,Start Quarter,[End of Period] Total EM ICs,[End of Period] EM 1st & 2nd Line,[TARGET] Total EM ICs Hire,[TARGET] EM 1st & 2nd Line Hire,[ACTUAL] Total EM ICs,[ACTUAL] EM 1st & 2nd Line
2026 - 1,FY25 Q4,9,2,,,1,0
2026 - 2,FY26 Q1,17,2,8,0,6,0
2026 - 3,FY26 Q1,19,2,2,0,3,0
2026 - 4,FY26 Q1,23,3,4,1,4,0
2026 - 5,FY26 Q2,25,3,2,0,1,0
2026 - 6,FY26 Q2,29,4,4,1,0,0
2026 - 7,FY26 Q2,33,4,4,0,0,0
2026 - 8,FY26 Q3,39,5,6,1,0,0
2026 - 9,FY26 Q3,45,5,6,0,0,0
2026 - 10,FY26 Q3,52,6,7,1,0,0
2026 - 11,FY26 Q4,58,7,6,1,0,0
2026 - 12,FY26 Q4,66,8,8,1,0,0
2027 - 1,FY26 Q4,75,9,9,1,0,0
2027 - 2,FY27 Q1,85,10,10,1,0,0
2027 - 3,FY27 Q1,97,12,12,2,0,0
2027 - 4,FY27 Q1,109,13,12,1,0,0
2027 - 5,FY27 Q2,122,15,13,2,0,0
2027 - 6,FY27 Q2,136,16,14,1,0,0
2027 - 7,FY27 Q2,151,18,15,2,0,0
2027 - 8,FY27 Q3,162,19,11,1,0,0
2027 - 9,FY27 Q3,178,21,16,2,0,0
2027 - 10,FY27 Q3,196,24,18,3,0,0
2027 - 11,FY27 Q4,215,26,19,2,0,0
2027 - 12,FY27 Q4,234,28,19,2,0,0
2028 - 1,FY27 Q4,254,31,20,3,0,0
,,,,,,,
Source: Target,https://docs.google.com/spreadsheets/d/1mvMjKwhHs-CsRg4x6zA9C6FtXkKvQIN90dQMjLK5V6Y/edit?gid=0#gid=0,,,,,,
Source: Actual ,https://docs.google.com/spreadsheets/d/19CgexAPGLU36O4dFZGwhDI-Z81-Q2KPgrQou-KpPUMU/edit?gid=0#gid=0,,,,,,
,,,,,,,
,,,,,,,
Notes,Only active EMs,,,,,,
,Based on effective start date,,,,,,
,Excludes engagement associates ,,,,,,
,Assumes new hires in 2026 are all ICs ,,,,,,
,Carlos and Christie are counted as 1st and 2nd line ,,,,,,
,Revenue Engagement Manager is counted as Engagement Manager,,,,,,
