,,,,,,,,NNARR Contribution ------------------------------------>,,,,New Customer Contribution -------------------------->,,,,,,,,,,,,,,,,
,Date,Fiscal Quarter,,Expected Produtivity Ramp,Month,Attrition Factor (modeled to 22% annual),Standard Prod,Enterprise,Mid Market,Agency,,Standard Deals,Enterprise,Mid Market,Agency,,Observed,Modeled,Quota,,Multiplier,Amount,Deals,,,These are the annual assumptions I'm making,,
,1/1/25,FY25 Q1,,M1,1,0.98,$60,$60,$54,$60,Assumping three month ramp,0,0.00,0.00,0.00,1,60,50,100,,Enterprise,1,1.00,,,,monthly,annual
,4/1/25,FY25 Q2,,M2,2,0.96,$60,$60,$54,$60,,2,2.00,3.00,2.00,2,130,120,100,,Mid Market,0.9,1.50,,,Enterprise,150,1800
,7/1/25,FY25 Q3,,M3,3,0.94,$120,$120,$108,$120,,3,3.00,4.50,3.00,3,268,150,100,,Agency,1,1.00,,,Agency,150,1800
,10/1/25,FY25 Q4,,M4,4,0.92,$180,$180,$162,$180,,4,4.00,6.00,4.00,4,366,300,100,,,,,,,Mid Market,125,1500
,1/1/26,FY26 Q1,,M5,5,0.90,$180,$180,$162,$180,,4,4.00,6.00,4.00,5,397,300,100,,,,,,,,monthly attrition,annual attrition
,5/1/26,FY26 Q2,,M6,6,0.88,$180,$180,$162,$180,,4,4.00,6.00,4.00,6,214,300,100,,,,,,,one tenth,0.01,11.36%
,8/1/26,FY26 Q3,,M7,7,0.87,$180,$180,$162,$180,,4,4.00,6.00,4.00,,,,,,,,,,,two tenths,0.02,21.53%
,11/1/26,FY26 Q4,,M8,8,0.85,$180,$180,$162,$180,,4,4.00,6.00,4.00,,Observed Prod here,,,,,,,,,thee tenths,0.03,30.62%
,2/1/27,FY27 Q1,,M9,9,0.83,$180,$180,$162,$180,,4,4.00,6.00,4.00,,,,,,,,,,,fourtenths,0.04,38.73%
,5/1/27,FY27 Q2,,M10,10,0.81,$180,$180,$162,$180,,4,4.00,6.00,4.00,,,,,,,,,,,five tenths,0.05,45.96%
,8/1/27,FY27 Q3,,M11,11,0.80,$180,$180,$162,$180,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,11/1/27,FY27 Q4,,M12,12,0.78,$180,$180,$162,$180,,4,4.00,6.00,4.00,,,,,,New Logo vs  Expansion Heuristic,,,,,,,
,2/1/28,FY28 Q1,,M13,13,0.76,$200,$200,$180,$200,,4,4.00,6.00,4.00,,,,,,ARR,New Logo @ 45k,Delta,% New Logo,,,,
,5/1/28,FY28 Q2,,M14,14,0.75,$200,$200,$180,$200,,4,4.00,6.00,4.00,,,,,,$200,180,$20,90.00%,,,,
,8/1/28,FY28 Q3,,M15,15,0.73,$200,$200,$180,$200,,4,4.00,6.00,4.00,,,,,,$200,180,$20,90.00%,,,,
,11/1/28,FY28 Q4,,M16,16,0.72,$200,$200,$180,$200,,4,4.00,6.00,4.00,,,,,,$200,180,$20,90.00%,,,,
,,,,M17,17,0.70,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,$250,180,$70,72.00%,,,,
,,,,M18,18,0.69,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,$250,180,$70,72.00%,,,,
,,,,M19,19,0.67,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,$250,180,$70,72.00%,,,,
,,,,M20,20,0.66,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,$250,180,$70,72.00%,,,,
,,,,M21,21,0.65,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,$250,180,$70,72.00%,,,,
,,,,M22,22,0.63,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,$250,180,$70,72.00%,,,,
,,,,M23,23,0.62,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,$250,180,$70,72.00%,,,,
,,,,M24,24,0.61,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,$250,180,$70,72.00%,,,,
,,,,M25,25,0.60,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M26,26,0.58,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M27,27,0.57,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M28,28,0.56,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M29,29,0.55,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M30,30,0.54,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M31,31,0.53,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M32,32,0.52,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M33,33,0.50,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M34,34,0.49,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M35,35,0.48,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M36,36,0.47,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M37,37,0.46,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M38,38,0.46,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M39,39,0.45,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M40,40,0.44,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M41,41,0.43,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M42,42,0.42,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M43,43,0.41,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M44,44,0.40,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M45,45,0.39,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M46,46,0.39,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M47,47,0.38,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M48,48,0.37,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M49,49,0.36,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M50,50,0.36,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M51,51,0.35,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M52,52,0.34,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M53,53,0.33,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M54,54,0.33,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M55,55,0.32,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M56,56,0.31,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M57,57,0.31,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M58,58,0.30,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
,,,,M59,59,0.29,$250,$250,$225,$250,,4,4.00,6.00,4.00,,,,,,,,,,,,,
