,,,,,,,,,,,,,,,,,,,,,
,Sales / SC / Partnerships - FY2027 Headcount Plan,,,,,,,,,,,,,,,,,,,,
,As of March 25 2026,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Headcount Summary,,,,,,,,,,,,,,,,,,,,
,,,,Q1 2026,Q1 2026,Q2 2026,Q2 2026,Q2 2026,Q3 2026,Q3 2026,Q3 2026,Q4 2026,Q4 2026,Q4 2026,,Q1 2026,Q2 2026,Q3 2026,Q4 2026,,FY2027
,Title,,,Mar-26,Apr-26,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Jan-27,,Apr-26,Jul-26,Oct-26,Jan-27,,Jan-27
,,,,,,,,,,,,,,,,,,,,,
,Total Revenue,,,54,67,83,91,102,112,124,137,148,158,167,,67,102,137,167,,167
,,,,,,,,,,,,,,,,,,,,,
x,Sales,,,,,,,,,,,,,,,,,,,,
,"Senior Vice President, Revenue",,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1
,Head of Product-Led GTM & Ops,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1
,"Director, Mid-Market Sales",,,0,0,1,1,1,1,1,1,1,1,1,,0,1,1,1,,1
,"Director, Enterprise Sales",,,0,1,1,1,1,1,1,1,2,2,2,,1,1,1,2,,2
,"Manager, Enterprise Sales",,,1,1,3,3,3,4,6,7,7,7,7,,1,3,7,7,,7
,"Manager, Mid-Market Sales",,,2,2,3,3,4,4,4,4,4,4,4,,2,4,4,4,,4
,Enterprise Account Executive,,,11,16,20,24,28,32,36,40,44,48,52,,16,28,40,52,,52
,Account Executive,,,11,11,11,11,11,11,11,11,11,11,11,,11,11,11,11,,11
,Mid-Market Account Executive,,,8,10,11,13,15,17,19,21,23,25,27,,10,15,21,27,,27
,SDR Manager,,,1,1,2,2,2,2,2,3,3,3,3,,1,2,3,3,,3
,GTM Associate,,,9,11,11,11,12,14,16,18,20,22,24,,11,12,18,24,,24
,Revenue Operations,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1
,GTM Engineer,,,2,2,3,3,4,4,4,5,5,6,6,,2,4,5,6,,6
,Deal Operations,,,0,0,1,1,1,1,1,1,1,1,1,,0,1,1,1,,1
,GTM Enablement,,,0,0,0,0,1,1,1,1,1,1,1,,0,1,1,1,,1
,Salesforce Architect,,,0,0,0,1,1,1,1,1,1,1,1,,0,1,1,1,,1
,Sales Proposal Specialist,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,Partner Enablement Lead,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,Information Security,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1
,Executive Business Partner,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1
,GTM Operations,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1
,Total Sales,,,51,61,73,80,90,99,109,120,129,138,146,,61,90,120,146,,146
,,,,,,,,,,,,,,,,,,,,,
x,Solutions Consulting,,,,,,,,,,,,,,,,,,,,
,"Manager, Solutions Consulting",,,1,1,1,2,2,2,2,2,3,3,3,,1,2,2,3,,3
,Solutions Consultant,,,0,3,6,6,7,8,9,11,12,13,14,,3,7,11,14,,14
,Total Solutions Consulting,,,1,4,7,8,9,10,11,13,15,16,17,,4,9,13,17,,17
,,,,,,,,,,,,,,,,,,,,,
x,Partnerships,,,,,,,,,,,,,,,,,,,,
,Director of Partnerships,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1
,Agency Partnerships Lead,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1
,Strategic Partnerships,,,0,0,1,1,1,1,2,2,2,2,2,,0,1,2,2,,2
,Total Partnerships,,,2,2,3,3,3,3,4,4,4,4,4,,2,3,4,4,,4
,,,,,,,,,,,,,,,,,,,,,
,Net New Headcount,,,,,,,,,,,,,,,,,,,,
,,,,Q1 2026,Q1 2026,Q2 2026,Q2 2026,Q2 2026,Q3 2026,Q3 2026,Q3 2026,Q4 2026,Q4 2026,Q4 2026,,Q1 2026,Q2 2026,Q3 2026,Q4 2026,,FY2027
,Title,Avg OTE,,Mar-26,Apr-26,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Jan-27,,Apr-26,Jul-26,Oct-26,Jan-27,,Jan-27
,,,,,,,,,,,,,,,,,,,,,
,Total Revenue,,,0,13,16,8,11,10,12,13,11,10,9,,13,35,35,30,,113
,,,,,,,,,,,,,,,,,,,,,
x,Sales,,,,,,,,,,,,,,,,,,,,
,"Senior Vice President, Revenue",,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,Head of Product-Led GTM & Ops,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,"Director, Mid-Market Sales",,,,0,1,0,0,0,0,0,0,0,0,,0,1,0,0,,1
,"Director, Enterprise Sales",,,,1,0,0,0,0,0,0,1,0,0,,1,0,0,1,,2
,"Manager, Enterprise Sales","450,000",,,0,2,0,0,1,2,1,0,0,0,,0,2,4,0,,6
,"Manager, Mid-Market Sales","375,000",,,0,1,0,1,0,0,0,0,0,0,,0,2,0,0,,2
,Enterprise Account Executive,"300,000",,,5,4,4,4,4,4,4,4,4,4,,5,12,12,12,,41
,Account Executive,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,Mid-Market Account Executive,"250,000",,,2,1,2,2,2,2,2,2,2,2,,2,5,6,6,,19
,SDR Manager,"225,000",,,0,1,0,0,0,0,1,0,0,0,,0,1,1,0,,2
,GTM Associate,"115,000",,,2,0,0,1,2,2,2,2,2,2,,2,1,6,6,,15
,Revenue Operations,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,GTM Engineer,"200,000",,,0,1,0,1,0,0,1,0,1,0,,0,2,1,1,,4
,Deal Operations,"190,000",,,0,1,0,0,0,0,0,0,0,0,,0,1,0,0,,1
,GTM Enablement,"190,000",,,0,0,0,1,0,0,0,0,0,0,,0,1,0,0,,1
,Salesforce Architect,"190,000",,,0,0,1,0,0,0,0,0,0,0,,0,1,0,0,,1
,Sales Proposal Specialist,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,Partner Enablement Lead,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,Information Security,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,Executive Business Partner,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,GTM Operations,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,Total Sales,,,,10,12,7,10,9,10,11,9,9,8,,10,29,30,26,,95
,,,,,,,,,,,,,,,,,,,,,
x,Solutions Consulting,,,,,,,,,,,,,,,,,,,,
,"Manager, Solutions Consulting","240,000",,,0,0,1,0,0,0,0,1,0,0,,0,1,0,1,,2
,Solutions Consultant,"190,000",,,3,3,0,1,1,1,2,1,1,1,,3,4,4,3,,14
,Total Solutions Consulting,,,,3,3,1,1,1,1,2,2,1,1,,3,5,4,4,,16
,,,,,,,,,,,,,,,,,,,,,
x,Partnerships,,,,,,,,,,,,,,,,,,,,
,Director of Partnerships,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,Agency Partnerships Lead,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,Strategic Partnerships,"200,000",,,0,1,0,0,0,1,0,0,0,0,,0,1,1,0,,2
,Total Partnerships,,,,0,1,0,0,0,1,0,0,0,0,,0,1,1,0,,2
