,,,,,,,,
,AE Hiring plan,,,,,,,
`,,Target ,Actual,,,Target ,Actual ,
,,AE IC,AE IC,Action,,AE Manager,AE Manager,Action
,FY26 Q1,11,9,HIRE MORE,,1,3,HIT OR OVER TARGET
,FY26 Q2,20,0,HIRE MORE,,3,0,HIRE MORE
,FY26 Q3,23,0,HIRE MORE,,5,0,HIRE MORE
,FY26 Q4,29,0,HIRE MORE,,4,0,HIRE MORE
,FY27 Q1,32,0,HIRE MORE,,5,0,HIRE MORE
,FY27 Q2,35,0,HIRE MORE,,4,0,HIRE MORE
,FY27 Q3,38,0,HIRE MORE,,5,0,HIRE MORE
,FY27 Q4,41,0,HIRE MORE,,3,0,HIRE MORE
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,EM Hiring plan,,,,,,,
,,Target ,Actual,,,Target ,Actual ,
,,EM IC,EM IC,Action,,EM Manager,EM Manager,Action
,FY26 Q1,14,13,HIRE MORE,,1,0,HIRE MORE
,FY26 Q2,10,1,HIRE MORE,,10,0,HIRE MORE
,FY26 Q3,19,0,HIRE MORE,,19,0,HIRE MORE
,FY26 Q4,23,0,HIRE MORE,,23,0,HIRE MORE
,FY27 Q1,34,0,HIRE MORE,,34,0,HIRE MORE
,FY27 Q2,42,0,HIRE MORE,,42,0,HIRE MORE
,FY27 Q3,45,0,HIRE MORE,,45,0,HIRE MORE
,FY27 Q4,58,0,HIRE MORE,,58,0,HIRE MORE
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,AM Hiring plan,,,,,,,
,,Target ,Actual,,,Target ,Actual ,
,,AM IC,AM IC,Action,,AM Manager,AM Manager,Action
,FY26 Q1,13,2,HIRE MORE,,1,0,HIRE MORE
,FY26 Q2,8,0,HIRE MORE,,1,0,HIRE MORE
,FY26 Q3,13,0,HIRE MORE,,2,0,HIRE MORE
,FY26 Q4,17,0,HIRE MORE,,2,0,HIRE MORE
,FY27 Q1,23,0,HIRE MORE,,3,0,HIRE MORE
,FY27 Q2,30,0,HIRE MORE,,4,0,HIRE MORE
,FY27 Q3,31,0,HIRE MORE,,4,0,HIRE MORE
,FY27 Q4,41,0,HIRE MORE,,5,0,HIRE MORE
