,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Total EOY,106M,,,,,,,,,,,,Blended Expand,31.01%,,,,,,,,
,,,,,,,Annual NRR,147%,1.425760887,,,,,,,,,,,,Total AM Quota,"$20,125,000"
Jan 1 ARR,$28.69,,,,,,Monthly NRR,1.03,,,,,,,,,,,,,Quota / AM,"$1,500,000"
,,,,,,,,,,,,,,,,,,,,,,
Month,Ent ARR,Ent MoM,Lite ARR,Lite MoM,Total ARR,Total AEs,Total EMs,AMs,Renewal ARR (NRR Cunulative),Renewal Contribution Monthly,New ARR Monthly,% Expansion,Net New,Expansion,Blended Annual Productivity,AE Productivity,AM Productivity,,AMs added,MOnths on Quota,Quota months,Total AM Quota
1/31/26,$31.48,,$4.28,,$35.76,23,10,1,$31.48,0,$2.79,20%,$2.23,$0.56,"$1,392,500","$1,162,435","$6,684,000",,1,12,12,"$1,500,000"
2/28/2026,$35.30,12.15%,$4.58,7%,$39.88,27,13,3,$32.42,$0.94,$2.88,20%,$2.30,$0.58,"$1,152,300","$1,024,267","$2,304,600",,2,11,22,"$2,750,000"
3/31/2026,$39.40,11.61%,$4.90,7%,$44.30,29,16,5,$33.39,$0.97,$3.13,25%,$2.35,$0.78,"$1,103,796","$970,579","$1,876,454",,2,10,20,"$2,500,000"
4/30/2026,$43.78,11.10%,$5.24,7%,$49.02,31,19,7,$34.39,$1.00,$3.37,25%,$2.53,$0.84,"$1,065,235","$979,329","$1,445,677",,2,9,18,"$2,250,000"
5/31/2026,$48.43,10.62%,$5.61,7%,$54.04,33,22,10,$35.43,$1.03,$3.62,25%,$2.71,$0.90,"$1,009,728","$986,780","$1,085,458",,3,8,24,"$3,000,000"
6/30/2026,$53.35,10.17%,$6.00,7%,$59.35,35,25,13,$36.49,$1.06,$3.86,30%,$2.70,$1.16,"$965,560","$926,937","$1,069,543",,3,7,21,"$2,625,000"
7/31/2026,$58.55,9.75%,$6.42,7%,$64.97,37,27,16,$37.58,$1.09,$4.11,30%,$2.87,$1.23,"$929,514","$932,027","$923,705",,3,6,18,"$2,250,000"
8/31/2026,$64.15,9.56%,$6.87,7%,$71.02,40,29,18,$38.71,$1.13,$4.47,30%,$3.13,$1.34,"$925,348","$939,228","$894,503",,2,5,10,"$1,250,000"
9/30/2026,$70.03,9.16%,$7.35,7%,$77.38,42,31,20,$39.87,$1.16,$4.71,30%,$3.30,$1.41,"$912,327","$942,738","$848,464",,2,4,8,"$1,000,000"
10/31/2026,$76.18,8.78%,$7.87,7%,$84.04,44,33,22,$41.07,$1.20,$4.95,35%,$3.22,$1.73,"$900,700","$878,183","$945,735",,2,3,6,"$750,000"
11/30/2026,$82.60,8.43%,$8.42,7%,$91.02,46,35,23,$42.30,$1.23,$5.19,35%,$3.38,$1.82,"$903,125","$880,547","$948,281",,1,2,2,"$250,000"
12/31/2026,$89.30,8.11%,$9.01,7%,$98.31,48,37,23,$43.57,$1.27,$5.43,40%,$3.26,$2.17,"$917,917","$814,651","$1,133,428",,0,1,0,$0
1/31/2027,$96.29,7.82%,$9.64,7%,$105.93,50,39,23,$44.88,$1.31,$5.68,40%,$3.41,$2.27,"$933,651","$817,878","$1,185,330",,0,0,0,$0
