,,,,,,,,,,,
,,,,,,,,,,,
,Month,Ent ARR,Lite ARR,Total ARR,New Ent ARR,,,,,,
,1/31/26,$32.42,$4.28,$36.70,,,,,,,
,2/28/2026,$36.63,$4.58,$41.21,$4.21,,,,12.99%,7.00%,12.29%
,3/31/2026,$41.39,$4.90,$46.29,$4.76,,,,12.99%,7.00%,12.32%
,4/30/2026,$46.76,$5.24,$52.00,$5.38,,,,12.99%,7.00%,12.36%
,5/31/2026,$52.84,$5.61,$58.45,$6.07,,,,12.99%,7.00%,12.39%
,6/30/2026,$59.70,$6.00,$65.70,$6.86,,,,12.99%,7.00%,12.41%
,7/31/2026,$67.45,$6.42,$73.88,$7.75,,,,12.99%,7.00%,12.44%
,8/31/2026,$76.22,$6.87,$83.09,$8.76,,,,12.99%,7.00%,12.47%
,9/30/2026,$86.12,$7.35,$93.47,$9.90,,,,12.99%,7.00%,12.49%
,10/31/2026,$97.30,$7.87,$105.17,$11.19,,,,12.99%,7.00%,12.52%
,11/30/2026,$109.94,$8.42,$118.36,$12.64,,,,12.99%,7.00%,12.54%
,12/31/2026,$124.22,$9.01,$133.23,$14.28,,,,12.99%,7.00%,12.56%
,1/31/2027,$140.36,$9.64,$150.00,$16.14,,,,12.99%,7.00%,12.58%
